Channel 1 (Signal Generator)  Channel 2 (Digital compass (I2C))
        899.000,                     -9.654,-0.031,30.030
        899.000,                     -9.654,-0.031,30.030
        899.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        899.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.654,-0.031,30.030
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        899.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        899.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.635,-0.031,30.007
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        899.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        901.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        901.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.663,-0.029,30.027
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        901.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        901.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        901.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        901.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
        900.000,                     -9.620,-0.031,30.024
